Marsha Ambrosius, As
Terrace Martin, What You Won't Do For Love
Dwele, Open Your Eyes
D'Angelo, Can't Hide Love - Live
Alicia Keys, How Come You Don't Call Me
PJ Morton, How Deep Is Your Love
Eric Benét, Georgy Porgy (feat. Faith Evans)
Usher, My Baby Just Cares For Me
Guordan Banks, Yesterday - Recorded at Spotify Studios NYC
Avery Wilson, Song For You
D'Angelo, She's Always In My Hair - Live from Spotify NYC
Donell Jones, Knocks Me Off My Feet
Mariah Carey, Thank God I Found You - Make It Last Remix Edit
Jamie Foxx, Love Changes
Fantasia, 'Til My Baby Comes Home
Mary J. Blige, Sweet Thing
D'Angelo, Feel Like Makin' Love
Jesse & Trina, Where Is The Love
Donny Hathaway, Superwoman - Previously Unissued
Allen Stone, What's Going On - Live At Spotify, NY/2012
The Roots, Star/Pointro - Album Version (Edited)
Eric Benét, If You Want Me To Stay
Fugees, Killing Me Softly with His Song
Intro, Ribbon In The Sky
Musiq Soulchild, Visions
Babyface, This Is for the Lover In You
Stacy Barthe, Angel
SWV, If Only You Knew
Dru Hill, The Love We Had (Stays On My Mind)
Michael McDonald, How Sweet It Is (To Be Loved By You)
Beyoncé, So Amazing
Kenny Lattimore, I Love You More Than You'll Ever Know
Angie Stone, Since I Lost My Baby
John Legend, Love Won't Let Me Wait
Troop, All I Do Is Think Of You
Guy, Yearning For Your Love
Charlie Wilson, Let's Chill
Will Downing, Stop, Look, Listen To Your Heart
Faith Evans, Love Don't Live Here Anymore
Avant, My First Love
Tamia, Love Me In A Special Way
After 7, Sara Smile
Jodeci, Lately
O'Bryan, You And I
Brian McKnight, Send One Your Love
Big Bub, Zoom
Xscape, Who Can I Run To
Usher, Slow Jam
Mario, Right And A Wrong Way
