Louis The Child, World On Fire
Alina Baraz, Make You Feel
filous, Shaded In - Common Tiger Remix
Luvian, Forest
Sofi Tukker, Moon Tattoo
Atlas Bound, Landed On Mars
Catching Flies, Komorebi
Skinny Atlas, Forest Child
Røhaan, Thorns
Calper, Stay Calm
Alex Lustig, Moonlight
HOMESHAKE, Give It to Me
Shlohmo, Wen Uuu
No Suits, Ten Out of Nine
Mi Ka, Sunray
Luvian, Dayglo
Ark Patrol, Primo
Kultur, I Still Got You
Verzache, Ice Cream
Fallen Roses, Yours and Nobody Else's
Saen, know you
Alina Baraz, Unfold
Galimatias, Blowback
Elliot Moss, Slip
Haux, Caves - GXNXVS Remix
Black Coast, Trndsttr (feat. M. Maggie)
Nosaj Thing, Aquarium
Floreyyyy, Timeless
KAYTRANADA, BUS RIDE
DrewsThatDude, Dive
TRACE, Low
Autograf, Dream - Autograf's Deep Dub
Haux, Touch
Shallou, Begin (feat. Wales)
moow, Let Me Alone
Pretty Lights, Finally Moving
King Krule, Czech One
Evil Needle, Sunday Morning
Elaquent, Bucket List
Alina Baraz, Show Me
Stwo, Haunted
