300lbs of Guwop, Teefus
Wale, Lotus Flower Bomb - feat. Miguel
Kid Ink, That's on You
Meek Mill, All Eyes On You (feat. Chris Brown & Nicki Minaj)
Kid Ink, Body Language
Wale, MY PYT
Meek Mill, Whatever You Need (feat. Chris Brown & Ty Dolla $ign)
Curren$y, G's Walk In
Pusha T, Trouble on My Mind (feat. Tyler, The Creator)
Kid Ink, Show Me
B.o.B, Strange Clouds (feat. Lil Wayne) - feat. Lil Wayne
Lupe Fiasco, Superstar (feat. Matthew Santos)
Meek Mill, 1942 Flows
Lupe Fiasco, The Show Goes On
Curren$y, Drive By (feat. Future)
Meek Mill, Fuck That Check Up (feat. Lil Uzi Vert)
Ace Hood, Hustle Hard Remix
Lupe Fiasco, Wild Child (feat. Jake Torrey)
Kid Ink, Ride Out
Mac Miller, Donald Trump
Kid Ink, Hell & Back
Lupe Fiasco, Kick, Push
Lupe Fiasco, Little Weapon (feat. Bishop G and Nikki Jean)
Lupe Fiasco, Battle Scars
Lupe Fiasco, Daydreamin' (feat. Jill Scott)
B.o.B, Magic (feat. Rivers Cuomo)
Kid Ink, No Strings
Lupe Fiasco, Dopamine Lit (Intro)
Curren$y, Hustlers
Kid Ink, Promise
Meek Mill, Wins & Losses
Kid Ink, Be Real
Curren$y, There Go the Man
Lupe Fiasco, Old School Love (feat. Ed Sheeran)
B.o.B, Roll Up (feat. Marko Penn)
Mac Miller, Knock Knock
Ace Hood, We Don't (feat. Rich Homie Quan)
Meek Mill, Litty (feat. Tory Lanez)
B.o.B, HeadBand (feat. 2 Chainz)
Mac Miller, Dang! (feat. Anderson .Paak)
Raekwon, The Morning
Pusha T, Circles
Ace Hood, To Whom It May Concern
B.o.B, So Good
Meek Mill, We Ball (feat. Young Thug)
B.o.B, Airplanes, Part II (feat Eminem & Hayley Williams of Paramore)
Meek Mill, Issues
Ace Hood, Passion
Pusha T, New God Flow
Ace Hood, Came Wit the Posse
Tee Grizzley, Beef (feat. Meek Mill)
Linkin Park, Good Goodbye (feat. Pusha T and Stormzy)
Kid Ink, F With U
Ace Hood, Play to Win
Wale, Running Back (feat. Lil Wayne)
Mac Miller, My Favorite Part
Ace Hood, I Know How It Feel
Meek Mill, R.I.C.O. (feat. Drake)
Ace Hood, Bugatti
Pusha T, Nosetalgia
Wale, Bad - Remix feat. Rihanna
Curren$y, Capitol - feat. 2 Chainz
Mac Miller, Weekend (feat. Miguel)
Mac Miller, 100 Grandkids
Mac Miller, Cinderella (feat. Ty Dolla $ign)
Ace Hood, The Bottom (feat. O.Z)
Lupe Fiasco, Jump (feat. Gizzle)
Wale, The Need To Know (feat. SZA)
Curren$y, Hoe Train
Mac Miller, God Is Fair, Sexy Nasty (feat. Kendrick Lamar)
Curren$y, Pound
Mac Miller, Stay
Pusha T, Drug Dealers Anonymous
Curren$y, Bottom of the Bottle (feat. August Alsina & Lil Wayne)
Kid Ink, Ride Out
Wale, Ambition - feat. Meek Mill & Rick Ross
Kanye West, Mercy.1
Curren$y, Landed
B.o.B, Airplanes (feat. Hayley Williams of Paramore)
Wale, My Love (feat. Major Lazer, WizKid, Dua Lipa) - Major Lazer VIP Remix
B.o.B, Nothin' On You (feat. Bruno Mars)
Wale, My Love (feat. Major Lazer, WizKid, Dua Lipa)
Kanye West, Don't Like.1
Mac Miller, Loud
B.o.B, We Still In This Bitch (feat. T.I. and Juicy J)
Wale, Colombia Heights (Te Llamo) [feat. J Balvin]
Kid Ink, Money and the Power
Curren$y, How High (feat. Lloyd)
Pusha T, Sweet Serenade
Ace Hood, Get to Me
B.o.B, 4 Lit
