Marshmello, Silence
Axwell /\ Ingrosso, More Than You Know
LVNDSCAPE, Dive With Me
CNCO, Reggaetón Lento (Remix) [CNCO & Little Mix]
Imagine Dragons, Thunder
Mike Perry, Hands
Skrillex, Would You Ever
Zara Larsson, Only You - KREAM Remix
Adam Katz, Let Me Love You
Dimitri Vegas & Like Mike, Complicated (feat. Kiiara)
MYXE, Breaking All The Rules
Davai, Replay
Galantis, Hunter
Loote, High Without Your Love
Bodybangers, Aftershock
Zedd, Get Low (with Liam Payne)
John Gibbons, P.Y.T. (Pretty Young Thing)
Hot Shade, Better
Martin van Lectro, I'll Be There for You
Rita Ora, Your Song
Matoma, Party On The West Coast (feat. Snoop Dogg)
Capital Kings, Don't Wanna Wake Up
Boehm, We Come - Radio Edit
Rudimental, Sun Comes Up
Moon Taxi, Two High
Major Lazer, Particula (feat. DJ Maphorisa, Nasty C, Ice Prince, Patoranking & Jidenna)
David Guetta, 2U (feat. Justin Bieber)
Julia Michaels, Issues - Alan Walker Remix
Sad Eye, Come Home
Cash Cash, All My Love (feat. Conor Maynard)
The Main Level, Bombadilla
Vice, Obsession (feat. Jon Bellion)
Shawn Mendes, There's Nothing Holdin' Me Back
Mickey Valen, Wildcard
Martin Solveig, Places
OneRepublic, No Vacancy
Milky Chance, Cocoon
OneRepublic, Rich Love (with Seeb)
Robin Schulz, Shed a Light
VAX, 6 In the Morning
HAIM, Little Of Your Love - BloodPop® Remix
Fifth Harmony, Down
Jax Jones, You Don't Know Me
Avicii, Without You (feat. Sandro Cavazza)
Sigrid Bernson, This Summer
Alan Walker, Tired
Afrojack, Wave Your Flag
Halloran & Kate, Weak - Boonz Tropical Remix
Enrique Iglesias, SUBEME LA RADIO
Calvin Harris, Feels
Mike Perry, Body to Body
Ricky Martin, Vente Pa' Ca
Zara Larsson, TG4M
Robin Schulz, 4 Life (feat. Graham Candy)
Sigala, Came Here for Love
DJ Khaled, I'm the One
Jason Derulo, Swalla (feat. Nicki Minaj & Ty Dolla $ign)
Jonas Blue, Mama
The Boy Next Door, La Colegiala
Andrelli, Old Man
Martin Jensen, Wait
Major Lazer, Buscando Huellas (feat. J Balvin & Sean Paul)
Martin Garrix, There for You
Sam Feldt, YES
Skip Marley, Refugee
J Balvin, Mi Gente
Breathe Carolina, Hotel
Calvin Harris, Slide
Fifth Harmony, He Like That
ItaloBrothers, Summer Air
Ella Eyre, Ego (feat. Ty Dolla $ign)
Cheat Codes, No Promises (feat. Demi Lovato)
Rod Stewart, Da Ya Think I'm Sexy
Robin Schulz, OK
Justin Bieber, Friends (with BloodPop®)
