LVNDSCAPE, Dive With Me
Cape Cub, Swim - RAMI Remix
Tep No, The Last Ones Standing
Galavant, Hold On
Ryan Riback, Do You Care (feat. Iselin)
Imani Williams, Don't Need No Money
Alesso, Falling
Nora En Pure, On the Beach - Short Edit
Bjonr, Fade Into You
MARC, Show You the Light (feat. Efraim Leo)
Thomas Jack, Rise Up
Bakermat, Living
Bodybangers, Aftershock
Janieck, Feel The Love - Sam Feldt Edit
Adam Katz, Let Me Love You
Jonas Rathsman, Tobago
Kyla La Grange, Cut Your Teeth - Kygo Remix
Imany, Don't Be so Shy - Filatov & Karas Remix
Dan Farber, Time For Living (feat. Boy Matthews)
Michael Calfan, Nobody Does It Better
Pat Lok, My Own Throne (feat. Claire Mortifee)
Bob Marley & The Wailers, Is This Love - Remix
Avicii, Wake Me Up - PANG! Slowing Things Down Remix
Lana Del Rey, Blue Jeans - RAC Mix
Sonny Alven, Our Youth
Madden, Golden Light (feat. 6AM)
John Gibbons, P.Y.T. (Pretty Young Thing)
Sons Of Maria, Need You - Radio Edit
Alex Newell, Kill The Lights (with Nile Rodgers) - Audien Remix
Tiësto, On My Way
Portugal. The Man, Feel It Still - Ofenbach Remix
Sigala, Sweet Lovin' - Radio Edit
Felon, Rush
ARLE, Close To You - Icarus Edit
The Magician, Sunlight (feat. Years and Years) - Radio Edit
Duke Dumont, Ocean Drive
Alok, Hear Me Now
Louis Tomlinson, Just Hold On
Lucas & Steve, Make It Right
Maverick Sabre, Come Fly Away - KANT Remix
Sam Feldt, Summer on You
filous, Goodbye
Thomas Gold, Magic
Mike Mago, Deeper Love - Radio Edit
LANY, ILYSB - Ferdinand Weber Edit
Cookin' On 3 Burners, Mind Made Up (feat. Kylie Auldist) - Lenno vs. Cookin' On 3 Burners
Mike Perry, The Ocean
Felix Jaehn, Bonfire
RHODES, Your Soul (Holding On)
Kungs, This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners
R3HAB, Freak - Sam Feldt Remix Edit
Hot Natured, Benediction - Radio Edit
Vice, Steady 1234 (feat. Jasmine Thompson & Skizzy Mars) - Bad Royale Remix
Mike Perry, Body to Body
Cat Dealers, Gravity
Tensnake, Coma Cat
Felix Jaehn, Ain't Nobody (Loves Me Better) - Extended Mix
A R I Z O N A, Oceans Away - Sam Feldt Remix
Alok, Never Let Me Go
Set Mo, White Dress (feat. Deutsch Duke) - Radio Edit
Gavin James, I Don’t Know Why - Danny Avila Remix
Loui & Scibi, Your Love - Touch & Go Club Mix
Solidisco, Summer Heat - Radio Mix
Seeb, Breathe
Sad Eye, Come Home
OFFAIAH, Trouble
Møme, Aloha
Monitor 66, Triscuits - Original Mix
Martin Jensen, Solo Dance
Le Boeuf, So Much Love (feat. Exenia)
Alok, Fuego
Set Mo, Comfort You - Extended Mix
Tom Redwood, I've Fallen for You
Robin Schulz, Shed a Light
Michael Brun, U
Sam Feldt, Summer on You (Club Edit) - Club Edit
Alesso, I Wanna Know
Shy Luv, Time
Mason, My Ritual
MYNGA, Back Home - Radio Edit
Calvin Harris, Blame
Starley, Call on Me - Ryan Riback Remix
Kygo, It Ain't Me (with Selena Gomez)
Cat Carpenters, Ready For The Weekend - Lulleaux Remix
Kris Kross Amsterdam, Are You Sure? (feat. Ty Dolla $ign)
Shura, Touch - Four Tet Remix
Jonas Blue, Mama
R3HAB, Hold Me
Sonny Alven, Make Me Feel
Axwell /\ Ingrosso, I Love You
Jax Jones, You Don't Know Me
Billon, Slave To The Vibe - Radio Edit
Attom, Better - Radio Edit
Anjulie, Where The Love Goes
Hayden James, Just A Lover
Kristine Blond, Love Shy - James Hype Remix
Disco Fries, Born Ready - Halogen Radio Edit
Years & Years, Desire
KREAM, Drowning
Bruno Martini, Sun Goes Down
Martin Solveig, Do It Right
Frank Pole, Anything
Dimitri Vegas & Like Mike, Complicated (feat. Kiiara)
Yall, Hundred Miles
Armand Van Helden, Wings
