Royal Crown Revue, Hey Pachuco!
The New Morty Show, Knockin' At Your Door
Big Bad Voodoo Daddy, Minnie The Moocher
The Hot Sardines, When I Get Low I Get High
Steve Lucky & The Rhumba Bums, Do The Pup
Cherry Poppin' Daddies, Zoot Suit Riot
Johnny Nocturne Band, Slippin' & Slidin'
The Lucky Strikes, Swing Let's Swing
Alien Fashion Show, Oak Tree
Ingrid Lucia & The Flying Neutrinos, Bei Mir Bist Du Schon
The Bill Elliot Swing Orchestra, Mildred, Won't You Behave
Bellevue Cadillac, Pull The Plug
Indigo Swing, Pink Cadillac
Lavay Smith & Her Red Hot Skillet Lickers, Everybody's Talkin' Bout Miss Thing!
Mitch Woods and His Rocket 88‘S, Swingin' At The Savoy
Casey MacGill & the Spirits of Rhythm, Rhythm
Big Kahuna and the Copa Cat Pack, Ain't No Big Thing
The Jive Aces, Bring Me Sunshine
Eight To The Bar, Sugar High
The Gas House Gorillas, Hep Cat King of Everything
Blue Harlem, 5-10-15 Hours
Brian Setzer, Love Partners In Crime
Bill Elliott Swing Orchestra, The Shim Sham Song
Ray Gelato, The Joint is Jumpin'
Johnny Boyd, We've Got a World That Swings
Four Charms, Sausage Rock
