Skrillex, Would You Ever
Avicii, Lonely Together (feat. Rita Ora)
ODESZA, Falls (feat. Sasha Sloan)
French Montana, Unforgettable
Marshmello, Silence
Maroon 5, What Lovers Do (feat. SZA)
Feki, Love You Better (feat. Glades)
Lulleaux, Contact
Flume, Say It (feat. Tove Lo) [Illenium Remix]
Selena Gomez, Wolves
Kygo, Stargazing
Kiiara, Whippin (feat. Felix Snow)
John Splithoff, Show Me (feat. Madison Ryann Ward)
Diplo, Get It Right (feat. MØ)
Clean Bandit, I Miss You (feat. Julia Michaels)
Anjulie, Where The Love Goes
Maroon 5, Wait
Starley, Call on Me - Ryan Riback Remix
ODESZA, Sun Models (feat. Madelyn Grant)
Electric Guest, Oh Devil - Radio Version
NF, Let You Down
Nevada, The Mack
Elohim, Sleepy Eyes
DeJ Loaf, No Fear
King Henry, I'll Be There
Lorde, Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX
Lauv, I Like Me Better
Axwell /\ Ingrosso, More Than You Know
Marnik, Burn
Hook N Sling, If You're Hearing This
Julia Michaels, Issues - Alan Walker Remix
Hailee Steinfeld, Let Me Go (with Alesso, Florida Georgia Line & watt)
AlunaGeorge, Turn Up The Love
Martin Solveig, Places
Moon Taxi, Two High
Demi Lovato, Sorry Not Sorry
DVBBS, Not Going Home
ayokay, The Shine
DJDS, Why Don't You Come On
Martin Garrix, Scared to Be Lonely
JOHN.k, OT
OLYK, Take Me (feat. Mariana Thielen)
R3HAB, I Just Can't
Khalid, Young Dumb & Broke
Kush Kush, Fight Back with Love Tonight
Dua Lipa, New Rules
Liam Payne, Strip That Down
Petit Biscuit, Waterfall
Lauv, Easy Love
Logic, 1-800-273-8255
