Tom Misch, Movie
Everything Is Recorded, Close But Not Quite
Mar, Spaceship
Nohidea, falling down (feat. shiloh)
Duñe, I Can't
Bruno Major, Fair-Weather Friend
She Major, Please Don't
Billie Marten, Bird
RY X, Only
Arthur Beatrice, Who Returned
Mark Johns, Bacardi
Folded Like Fabric, Hunting for Reason
Lyves, Darkest Hour
Ardyn, Help Me on My Way
Kevin Garrett, Pushing Away
Lasse Passage, Exludium
Sango, Só Você (feat. Elhae & Esta)
Lyves, Visions
Lyves, The Weather
Nick Hill, Know This
Adna, Thoughts
J.Views, Don't Pull Away
Alina Baraz, Electric (feat. Khalid)
Emmit Fenn, Painting Greys
tomemitsu, In Dreams
The New Basement Tapes, When I Get My Hands On You
Slime, 2 Player (feat. Vondelpark)
Only Real, Cadillac Girl
Ben Abraham, Speak
MAALA, Feels So Right
Submotion Orchestra, Red Dress
Grumby, Refuse
Airling, Stallin'
Seramic, People Say
Royce Wood Junior, Valentine Virus Part II (Ode to Prod)
Emily Donohue, It Doesn't Matter, I Love You
Arima Ederra, Trippin' on U
Shallou, Motion Picture Soundtrack
Rationale, Fast Lane
Phoria, Melatonin
Fyfe, Better Man
LION BABE, Treat Me Like Fire
Dennis Lloyd, Nevermind
The Erised, Spring
M. T. Hadley, Janet
Josef Salvat, Punchline
Mt. Si, Oh
Joni Payne, Contemporary Love
Ferdin&Nd, Your Love
Talos, Your Love Is an Island
Roseau, Salt
High Highs, London, After the Rain
Talos, Tethered Bones - Slow Magic Remix
ATTLAS, Jagged
Susie Suh, Here with Me
Frances, Don't Worry About Me - Aquilo Remix
NOVAA, Rose
Nambyar, Warm In The Winter
Flume, Say It - SG Lewis Remix
Jr. Hi, Secrets (feat. the Weeknd)
Mt. Joy, Sheep
Race Banyon, Surface
Saux, Save the World
Mt. Wolf, Golden (feat. St. South)
mAsis, Good Life
Bibio, The Way You Talk
Elliot Moss, Slip
Banks, Better
Kllo, Sense
Fhin, Eh
Bon Iver, 8 (circle)
Connie Constance, Answer
Natalie Duncan, Lies
JONES, Air
No Wyld, Grown Up
Allman Brown, Rivers
Ella Vos, White Noise
TOTEM, Sunrise
Novo Amor, Anchor
Jelani Blackman, Twenty//Three
Donna Missal, The Keeper
Lay Low, I Remember
Reece, Lost in Translation
Joni Payne, Must Have
Golden Vessel, Control
Big Wild, When I Get There
Blood Orange, Squash Squash
Club cheval, Dream On
Matt Woods, Ain't No Use
Meadowlark, Eyes Wide
Keiynan Lonsdale, Higher
Linying, Sticky Leaves
IX, Love You Simple
Jack Garratt, Worry
TOKiMONSTA, I'm Waiting
Elliot Moss, Closedloop
Yates, Mercury
Meredith, Levels
IX, Lend You My Mind vs. Tessa Rose Jackson
Demons Of Ruby Mae, Beneath The Surface
