will.i.am, Scream & Shout
Lucenzo, Danza Kuduro
Kanye West, Stronger
Sean Paul, Get Busy
Timbaland, The Way I Are
Rihanna, Pon de Replay
Shakira, Hips Don't Lie
Bingo Players, Get Up (Rattle) - Vocal Edit
Eurythmics, Sweet Dreams (Are Made of This) - Remastered
Eiffel 65, Blue (Da Ba Dee)
Flo Rida, Wild Ones (feat. Sia)
Pitbull, I Know You Want Me (Calle Ocho)
Lou Bega, Mambo No. 5 (A Little Bit of...)
Rihanna, Don't Stop The Music
Taio Cruz, Dynamite
The Pussycat Dolls, Don't Cha
Cascada, Every time we touch
Beyoncé, Crazy In Love
Akon, Smack That - Dirty
Rihanna, Umbrella
Edward Maya, Stereo Love - Radio Edit
Katy Perry, Hot N Cold
Kesha, TiK ToK
Kanye West, Gold Digger
OutKast, Hey Ya! - Radio Mix / Club Mix
Miley Cyrus, Party In The U.S.A.
LMFAO, Party Rock Anthem
Justin Timberlake, SexyBack
Gym Class Heroes, Stereo Hearts (feat. Adam Levine) - feat. Adam Levine
David Guetta, Titanium (feat. Sia) - feat. Sia
Icona Pop, I Love It
50 Cent, In Da Club
Eminem, Love The Way You Lie
Yolanda Be Cool, We No Speak Americano - Radio Edit
Naughty Boy, La La La
Michael Jackson, Billie Jean
Eminem, The Monster
Swedish House Mafia, Don't You Worry Child (Radio Edit) [feat. John Martin]
Coolio, Gangsta's Paradise (feat. L.V.)
Lady Gaga, Telephone
David Guetta, When Love Takes Over (feat. Kelly Rowland)
The Black Eyed Peas, I Gotta Feeling
Lady Gaga, Poker Face
Ginuwine, Pony
The Chainsmokers, #SELFIE
Maroon 5, Moves Like Jagger - Studio Recording From The Voice Performance
Shaggy, It Wasn't Me
John Travolta, You're The One That I Want
Red Hot Chili Peppers, Snow (Hey Oh)
Gwen Stefani, Hollaback Girl
Eric Prydz, Call On Me - Radio Edit
CeeLo Green, F**k You
Smash Mouth, All Star
Spice Girls, Wannabe - Radio Edit
Martin Solveig, Hello - Single Edit
Fergie, Fergalicious
Destiny's Child, Say My Name
Kenny Loggins, Footloose
P!nk, So What
Taylor Swift, Shake It Off
Fergie, Glamorous
Avicii, Wake Me Up - Radio Edit
Vanilla Ice, Ice Ice Baby
Haddaway, What Is Love
The Jackson 5, I Want You Back
Backstreet Boys, I Want It That Way
Britney Spears, Oops!...I Did It Again
3OH!3, My First Kiss - feat. Ke$ha
Nelly, Hot In Herre
Bruno Mars, Runaway Baby
