Jay Sean, Down
Estelle, American Boy (feat. Kanye West)
Nelly, Just A Dream - Main
Iyaz, Replay
Jason Derulo, Ridin' Solo
Trey Songz, Bottoms Up - feat. Nicki Minaj
Flo Rida, Low (feat T-Pain) - Feat T-Pain Album Version
Jeremih, Down On Me
Drake, Find Your Love
Drake, Headlines
Jeremih, Birthday Sex
Usher, Yeah!
Akon, Smack That - Dirty
Akon, Bananza (Belly Dancer)
Kardinal Offishall, Dangerous
Soulja Boy, Kiss Me Thru The Phone
Shaggy, It Wasn't Me
T.I., Whatever You Like
Kanye West, Gold Digger
Chris Brown, Kiss Kiss
R. Kelly, Ignition (Remix)
Timbaland, Carry Out (Featuring Justin Timberlake)
Drake, Best I Ever Had
Wiz Khalifa, Roll Up
Kanye West, Heartless
JAY Z, Otis
JAY Z, Ni**as In Paris
Rihanna, Umbrella
Rihanna, Disturbia
Rihanna, Rude Boy
Rihanna, What's My Name?
Beyoncé, Crazy In Love
Beyoncé, Halo
Nelly Furtado, Promiscuous
Waka Flocka Flame, No Hands (feat. Roscoe Dash and Wale)
Flo Rida, Club Can't Handle Me (feat. David Guetta) - Feat. David Guetta
Lupe Fiasco, The Show Goes On
JAY Z, Empire State Of Mind [Jay-Z + Alicia Keys]
Usher, DJ Got Us Fallin' In Love
Usher, OMG
Nelly, Ride Wit Me
Kid Cudi, Up Up & Away
50 Cent, Candy Shop
Kelly Rowland, Motivation
Rihanna, S&M
Trey Songz, Say Aah - feat. Fabolous
Young Money, BedRock
Flo Rida, Right Round - feat. Ke$ha
Taio Cruz, Break Your Heart
Jason Derulo, Whatcha Say
Eminem, Rap God
Lil Wayne, Lollipop
Akon, Right Now (Na Na Na)
Sean Kingston, Fire Burning
B.o.B, Nothin' On You (feat. Bruno Mars)
Jason Derulo, In My Head
Eminem, Berzerk
Shaggy, Angel
Nelly, Hot In Herre
Eminem, Lose Yourself - Soundtrack Version
Eminem, Love The Way You Lie
50 Cent, Disco Inferno
Snoop Dogg, Drop It Like It's Hot
Baby Bash, Cyclone
, 
Rae Sremmurd, Come Get Her
Montana of 300, F*ck Her Brains Out
Afroman, Crazy Rap (Colt 45 & 2 Zig Zags)
Flo Rida, Sugar (feat. Wynter)
J. Cole, Wet Dreamz
SoMo, Ride
Timbaland, The Way I Are
Timbaland, If We Ever Meet Again (Featuring Katy Perry)
Ludacris, My Chick Bad
Ester Dean, Drop It Low
Savage, Swing
Hoodie Allen, No Interruption
Soulja Boy, Crank That (Soulja Boy)
M.I.A., Paper Planes
Chris Brown, She Ain't You
