Nicolas Haelg, Mind Games
Daniel Liebt, Cruel Summer
Hearts & Colors, Lighthouse - Andrelli Remix
Maroon 5, Cold - Ashworth Remix
Alina Baraz, Fantasy - Felix Jaehn Remix
Hearts & Colors, For The Love
Max Owen, By Your Side
Sara Farell, I Don't Wanna Live Forever - Taladego Tropical Mix
Mac Beez, Never Gonna Give You Up
Neptunica, Foreign Place
Andrelli, Old Man
Mike Rigler, Change
Sol Calor, Midnight Sky
Gnarly Gibbs, I Need My Girl
Oliver Moldan, High & Low (feat. Jasmine Ash)
Dubl Deckers, Stories
LISTENBEE, Save Me
Daxten, Make It Rain
Sophie Francis, Without You
Maiwan, Tropic Fun
Perttu, Waves
Wild Beaches, Before The Dawn - COE Remix
Roger Martin, Waterfalls
Sultan + Shepard , Honey Come Back
Charming Horses, Freak On
Sum Wave, After a While / Smile
Jugende, New Days (feat. Franziska Harmsen) - Radio Edit
Philip Cecil, Dance The Night Away - Original version
Nico Santos, Goodbye To Love
JONAH, Wicked Fever - Niklas Ibach Remix
Ghost Loft, Talk to Me (Bearson Remix)
WHYLO, Next Summer
A&G, Too Good
Sebastien, Music In You
Tez Cadey, Seve - Radio Edit
NLSN, Tattoo on My Face
Aslove, Feel Good
Topic, Home (feat. Nico Santos) - Marcapasos Radio Remix
Sondr, Surviving
Charming Horses, Higher Love
Rave Radio, Carry You - Rave Radio House Mix
diMaro, History
Bruno Martini, Sun Goes Down
Propulsive, What You Need
Hounded, On My Side
HEIN+KLEIN, Sun Goes Down - Radio Edit
R3HAB, Freak - Sam Feldt Remix Edit
Achtabahn, Maaya
Iceleak, Don't Leave Me
Mandelbarth, Palmtree (Balduin Remix)
Allen French, Nova Vida - Osmo Remix
GAMPER & DADONI, Oxas
Lucas & Steve, Up Till Dawn (On The Move)
Armin van Buuren, Sunny Days
Vigiland, Friday Night - Tropkillaz Remix
MYNGA, The Legacy
Huko, Blind
Kyla La Grange, Cut Your Teeth - Kygo Remix
Firebeatz, Till The Sun Comes Up
Ryan Riback, One Last Time
Sarazar, Traveller
Marcus Layton, You Got Me
Sons Of Maria, Take It to the Beat
Dastic, Let Me Love You
Gabriel Rios, Gold - Thomas Jack Radio Edit
Sophie Elise, Love Like That (Edeema Remix)
Trobi, In The Studio
Fergie, Life Goes On - Ryan Riback Remix
Neptunica, Learning to Fly
Coucheron, Deep End (feat. Eastside and Mayer Hawthorne) - Matoma Remix
