Crowded House, Don't Dream It's Over
Tears For Fears, Everybody Wants To Rule The World
Pretenders, Don't Get Me Wrong - 2007 Remastered Version
UB40, Red Red Wine - Edit
INXS, Never Tear Us Apart
Tracy Chapman, Fast Car
George Michael, Careless Whisper - Remastered
The Cure, Close To Me
ICEHOUSE, Crazy
Berlin, Take My Breath Away - Love Theme from "Top Gun"
Bruce Springsteen, I'm on Fire
Belinda Carlisle, Summer Rain
Culture Club, Do You Really Want To Hurt Me - Edit
Don Henley, The Boys Of Summer
Blondie, The Tide Is High - 2001 Digital Remaster
John Farnham, A Touch of Paradise
The Bangles, eternal flame
Bryan Adams, Summer Of '69
Spandau Ballet, True
Daryl Braithwaite, As the Days Go By - Remastered
Whitney Houston, Saving All My Love for You
Fleetwood Mac, Gypsy
The Church, Under the Milky Way - 2005 - Remaster;
Fairground Attraction, Perfect
Paul Kelly & The Coloured Girls, To Her Door
Huey Lewis & The News, Stuck With You
Split Enz, Message To My Girl
Bobby McFerrin, Don't Worry Be Happy
1927, That's When I Think of You
The Police, Every Little Thing She Does Is Magic - Remastered 2003
Suzanne Vega, Luka
Simple Minds, Alive and Kicking - Edit
Eurythmics, There Must Be an Angel (Playing with My Heart) - Remastered Version
Australian Crawl, Oh No Not You Again - Remastered
Alannah Myles, Black Velvet
Dire Straits, Romeo And Juliet
Models, Barbados
Bryan Ferry, Slave To Love
Terence Trent D'Arby, Sign Your Name
The Cars, Drive
Edie Brickell & New Bohemians, What I Am
Sade, Smooth Operator
Eric Carmen, Hungry Eyes
Cheap Trick, The Flame
Madonna, La Isla Bonita
Bruce Hornsby, The Way It Is
Martika, Love...Thy Will Be Done - Single Version
Mondo Rock, Come Said The Boy - Digitally Remastered
Genesis, Follow You Follow Me - 2007 - Remaster
Hunters & Collectors, Throw Your Arms Around Me
