Childish Gambino, Redbone
6LACK, PRBLMS
Frank Ocean, Good Guy
Frank Ocean, Nights
Calvin Harris, Slide
The Weeknd, Reminder
The Weeknd, Sidewalks
Travis Scott, coordinate
The Weeknd, Attention
PnB Rock, Selfish
Russ, Too Many
Russ, Psycho, Pt. 2
Khalid, Saved
PARTYNEXTDOOR, Come and See Me (feat. Drake)
Major Lazer, Run Up
Migos, Kelly Price (feat. Travis Scott)
Chance The Rapper, Summer Friends (feat. Jeremih & Francis & The Lights)
Chance The Rapper, Juke Jam (feat. Justin Bieber & Towkio)
SAINt JHN, Reflex
6LACK, Learn Ya
DRAM, Caretaker (feat. SZA)
DRAM, CHA CHA
DRAM, Cute
Future, Comin Out Strong
NAV, Some Way
Syd, Over
KYLE, iSpy
Future, I'm so Groovy
Frank Ocean, Self Control
Mac Miller, Weekend (feat. Miguel)
Frank Ocean, Chanel
Drake, Passionfruit
Drake, Madiba Riddim
Drake, Blem
Drake, Sacrifices
Drake, KMT
ZAYN, Still Got Time
NAV, NAV
Russ, The Formula
Lil Uzi Vert, XO TOUR Llif3
Lil Uzi Vert, Ps & Qs
NAV, Up
NAV, Myself
NAV, Lonely
ScHoolboy Q, THat Part
Frank Ocean, Biking
Drake, Ice Melts
Kendrick Lamar, LOVE. FEAT. ZACARI.
Dave, Samantha
Drake, 4422
Kendrick Lamar, GOD.
2 Chainz, Good Drank
French Montana, Unforgettable
Frank Ocean, Lens
Luis Fonsi, Despacito - Remix
SZA, Doves In The Wind
Travis Scott, Butterfly Effect
A.CHAL, Cuánto
A.CHAL, Love N Hennessy
A.CHAL, Perdóname
A.CHAL, To the Light
DJ Khaled, To the Max
Drake, Free Smoke
Gucci Mane, Both (feat. Drake)
SZA, Love Galore
SZA, Drew Barrymore
PARTYNEXTDOOR, Low Battery
Majid Jordan, One I Want (feat. PARTYNEXTDOOR)
DJ Khaled, Wild Thoughts
Kanye West, 30 Hours
Ludacris, Good Lovin
Lil Uzi Vert, UnFazed (feat. The Weeknd)
Frank Ocean, Provider
XXXTENTACION, Depression & Obsession
XXXTENTACION, Save Me
XXXTENTACION, Revenge
Khalid, Coaster
Drake, Feel No Ways
Xavier Omär, Afraid
