NEEDTOBREATHE, Brother (feat. Gavin DeGraw)
Gavin James, The Book of Love - Spotify Session
Benjamin Francis Leftwich, Shine
Gavin DeGraw, Chariot - Stripped Version
Tom Odell, Grow Old with Me
Duffy, Warwick Avenue
José González, Stay Alive
James Bay, Hold Back The River
George Ezra, Blame It on Me
Tracy Chapman, Fast Car
Donovan Woods, Put On, Cologne
Benjamin Francis Leftwich, Summer
Ruth B., In My Dreams
Alex Vargas, Solid Ground
Jeff Buckley, Just Like a Woman
London Grammar, Strong
Nick Mulvey, Fever to the Form
Lisa Hannigan, Fall
Ásgeir, Going Home
Joshua Radin, Belong
The Mayries, Black Beatles - Acoustic
Ben Howard, Old Pine
Lucy Rose, Shiver
Ed Sheeran, Photograph
Boreal, Make Me (Cry) - Acoustic
Emile Haynie, Come Find Me
Jack Johnson, Better Together
London Grammar, Hey Now
Fais, Hey - Acoustic Version
Vance Joy, From Afar
Schuyler Fisk, Fall Apart Today
Laura Veirs, Sun Song
William Fitzsimmons, I Don't Feel It Anymore (Song of the Sparrow)
James Vincent McMorrow, Wicked Game - Recorded Live at St Canice Cathedral, Kilkenny
Adele, When We Were Young
Amos Lee, Johnson Blvd
Ed Sheeran, Save Myself
Ben Harper And The Innocent Criminals, Shine - Live From Spotify NYC
Albin Lee Meldau, Let Me Go
Mikky Ekko, Time
JP Cooper, Wait
The Avett Brothers, The Greatest Sum (Acoustic) - Acoustic
The Tallest Man On Earth, Dark Bird Is Home
Jamie Lawson, Miracle Of Love
Rudimental, Free (feat. Emeli Sandé) - feat. Emeli Sandé
Jake Bugg, Simple As This
Bright Eyes, First Day Of My Life
John Mayer, In Your Atmosphere - Live at the Nokia Theatre
Ed Sheeran, Thinking Out Loud
Labrinth, Jealous
St. Paul & The Broken Bones, Is It Me
The Lone Bellow, Fake Roses
Iron & Wine, Such Great Heights
David Gray, Smoke Without Fire
Daryl Hall & John Oates, Sara Smile
Sam Smith, Leave Your Lover
Tom Rush, No Regrets - 2008 Remastered Version
Tore Bojsten, Closer - Acoustic
Luke Sital-Singh, Pure
Rhye, Open
Conrad Sewell, Remind Me
Sufjan Stevens, The Only Thing
Allen Stone, Faithful
James Vincent McMorrow, Hear the Noise That Moves So Soft and Low
James TW, When You Love Someone
Benjamin Francis Leftwich, Tilikum
Gavin James, Nervous
Jasmine Thompson, Like I'm Gonna Lose You
James Bay, Need The Sun To Break
Charlie Cunningham, Minimum
James Bay, If You Ever Wanna Be In Love - James Bay Spotify Session 2015
