Stevie Wonder, Isn't She Lovely
LANY, ILYSB - STRIPPED
Ed Sheeran, Perfect Duet (Ed Sheeran & Beyoncé)
Train, Marry Me
The Corrs, Runaway
Lifehouse, You And Me
Bruno Mars, Just The Way You Are
Jason Derulo, Marry Me
Céline Dion, Because You Loved Me (Theme from "Up Close and Personal")
The Piano Guys, Without You
Ed Sheeran, Thinking Out Loud
K-Ci & JoJo, All My Life
The Turtles, Happy Together
KZ Tandingan, Two Less Lonely People in the World (Official Movie Theme Song Of "Kita Kita")
Juris, Forevermore
The Piano Guys, Story of My Life
Blue, Best In Me
Edwin McCain, I Could Not Ask For More
Shania Twain, From This Moment On - Pop On-Tour Version
Bruno Mars, Marry You
DJ Sammy, Heaven (featuring Do) - Candlelight Mix
South Border, Kahit Kailan
Up Dharma Down, Tadhana
Michael Bublé, Everything
Dingdong Avandazo, Panghabangbuhay
Maroon 5, Sugar
Juris, Your Love (Dolce Amore Teleserye Theme)
Jason Mraz, Lucky
Janno Gibbs, Fallin'
Barbra Streisand, I Finally Found Someone (Duet with Bryan Adams)
Toni Gonzaga-Soriano, Baby Now That I've Found You
98º, I Do (Cherish You)
Beyoncé, Love On Top
Shania Twain, From This Moment On
Jason Mraz, I'm Yours
Andy Grammer, Fresh Eyes
Yeng Constantino, Salamat
Yeng Constantino, Ikaw
Erik Santos & Sheryn Regis, Now That I Have You
Toni Gonzaga, We Belong
Jack Johnson, Better Together
First Circle, Akoy Sa'Yo
John Legend, All of Me
Jaya & Janno Gibbs, Ikaw Lamang
South Border, Kahit Kailan - Multiplex Karaoke
Bryan White, God Gave Me You
South Border, Rainbow
All-4-One, I Swear
Christina Perri, A Thousand Years
MYMP, Sa Kanya
Lionel Richie, Endless Love - From "The Endless Love" Soundtrack
Luther Vandross, Dance With My Father - Radio Version
Pops Fernandez, Freestyle, Bakit Ngayon Ka Lang
Jim Paredes, Panalangin - Remix
Martin Nievera, You Take My Breath Away
