MAGIC!, Rude - Zedd Remix
Pharrell Williams, Happy - From "Despicable Me 2"
R. Kelly, Happy People - Radio Edit
Mariah Carey, Always Be My Baby
Kenny G, The Moment
Sweetbox, Everything'S Gonna Be Alright
Fairground Attraction, Perfect
Ben Folds Five, Philosophy
James Arthur, Say You Won't Let Go
Meghan Trainor, Dear Future Husband
Gloria Estefan, 1-2-3
Mark Ronson, Uptown Funk
OMI, Cheerleader (Felix Jaehn Remix) - Radio Edit
Eurythmics, There Must Be an Angel (Playing with My Heart) - Remastered Version
Bruno Mars, Marry You
Queen, I Was Born To Love You
One Direction, What Makes You Beautiful
P!nk, Raise Your Glass
Kool & The Gang, Celebration
The Emotions, Best of My Love
The Nolans, I'm in the Mood for Dancing
Maroon 5, Sugar
OutKast, Hey Ya! - Radio Mix / Club Mix
fun., We Are Young (feat. Janelle Monáe) - feat. Janelle Monae
Billy Joel, Uptown Girl
5 Seconds of Summer, She Looks So Perfect
Céline Dion, Beauty and the Beast - Duet with Peabo Bryson from the Soundtrack "Beauty and the Beast"
Meja, How Crazy Are You?
Jason Mraz, I'm Yours
Carly Rae Jepsen, Call Me Maybe
Beyoncé, Crazy In Love
Michael Jackson, Love Never Felt so Good
SWV, Right Here - Human Nature Radio Mix
Air Supply, All Out of Love
Sixpence None The Richer, Kiss Me
Britney Spears, Sometimes
Charlie Puth, Marvin Gaye (feat. Meghan Trainor)
Savage Garden, I Knew I Loved You
Westlife, My Love
Chris Brown, With You
Rachel Platten, Better Place
Beyoncé, Best Thing I Never Had
Alicia Keys, If I Ain't Got You
Elvis Presley, Can't Help Falling in Love
Britney Spears, I'm Not a Girl, Not Yet a Woman
Katy Perry, California Gurls - feat. Snoop Dogg
Roy Orbison, Oh, Pretty Woman
One Direction, Story of My Life
Céline Dion, My Heart Will Go On - Love Theme from "Titanic"
Monica, Before You Walk Out of My Life
Journey, Open Arms
Spice Girls, Mama
Boyz II Men, A Song For Mama
Luther Vandross, Dance With My Father - Radio Version
John Mayer, Daughters
Mariah Carey, Hero
Whitney Houston, Greatest Love Of All
Rick Astley, Together Forever
ABBA, Dancing Queen
James Blunt, You're Beautiful
Backstreet Boys, I Want It That Way
Justin Timberlake, CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's "TROLLS")
Taylor Swift, Love Story
Bee Gees, How Deep Is Your Love (2007 Remastered Saturday Night Fever LP Version)
Bobby McFerrin, Don't Worry Be Happy
Carpenters, We've Only Just Begun
Stevie Wonder, For Once In My Life
Bruce Springsteen, I Wanna Marry You
Kenny G, The Wedding Song
