SLUMBERJACK, Afraid, Unafraid
Astrid S, Breathe - Lauv Remix
Starley, Call On Me - Ryan Riback Extended Remix
Harry Styles, Carolina
Ed Sheeran, Castle on the Hill
Lady Gaga, The Cure
Snakehips, Don't Leave
Vance Joy, Emmylou
Harry Styles, Ever Since New York
Kygo, First Time
Harry Styles, From the Dining Table
Ed Sheeran, Galway Girl
The Internet, Girl - Radio Edit
Matoma, Girl At Coachella (with Matoma & MAGIC! feat. DRAM)
G-Eazy, Good Life (with G-Eazy & Kehlani)
Lorde, Green Light
Ed Sheeran, Happier
Sia, Helium - From "Fifty Shades Darker (Original Motion Picture Soundtrack)"
Olivia Holt, History
DJ Khaled, I'm the One
Maty Noyes, in my miNd
Martin Garrix, In the Name of Love
Julia Michaels, Issues
Kygo, It Ain’t Me (with Selena Gomez)
Isaiah, It's Gotta Be You
Louis The Child, It's Strange - Whethan Remix
FRENSHIP, Capsize
Jack Ü, To Ü (feat. AlunaGeorge)
Mura Masa, Firefly
Andra Day, Rise Up
Zedd, Stay (with Alessia Cara)
Lauv, The Other
Steve Aoki, Just Hold On
Adele, Water Under The Bridge
Alessia Cara, Scars To Your Beautiful
The Chainsmokers, Don't Let Me Down
Halsey, Now Or Never
Halsey, Hurricane - Arty Remix
Miley Cyrus, Malibu
Selena Gomez, Bad Liar
Khalid, Location
Lorde, Green Light
RÜFÜS, Sundream
Ansel Elgort, Thief
Martin Garrix, Scared to Be Lonely
Dean Lewis, Waves
Noah Cyrus, Stay Together
Lorde, Liability
Little Mix, Touch
Niall Horan, Slow Hands
Stanaj, Romantic - NOTD Remix
Sigrid, Don't Kill My Vibe
Justin Bieber, The Feeling
Justin Bieber, Been You
Justin Bieber, Get Used To It
Dua Lipa, Hotter Than Hell
Kygo, Stay
The Black Eyed Peas, Where Is The Love?
Ariana Grande, One Last Time - Live from One Love Manchester
The Black Eyed Peas, Where is the love - Live from One Love Manchester
Childish Gambino, Redbone
Sticky Fingers, Rum Rage
ZAYN, I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Darker (Original Motion Picture Soundtrack)"
Post Malone, Deja Vu
Drake, Passionfruit
Milky Chance, Cocoon
Milky Chance, Blossom
Kendrick Lamar, HUMBLE.
Shawn Mendes, There's Nothing Holdin' Me Back
Migos, Bad and Boujee (feat. Lil Uzi Vert)
Hayden James, Something About You - Odesza Remix
Post Malone, Congratulations
Years & Years, Eyes Shut
Maggie Lindemann, Pretty Girl - Cheat Codes X CADE Remix
Flume, Trust
Flume, Quirk
David Guetta, 2U (feat. Justin Bieber)
Dean Lewis, Need You Now
Big Sean, Bounce Back
Sigala, Came Here for Love
Nicole Millar, Tremble
What So Not, Lone (feat. JOY.)
AlunaGeorge, I Remember
Rita Ora, Your Song
Luis Fonsi, Despacito - Remix
Bruno Mars, That's What I Like
Martin Garrix, There for You
Bliss n Eso, Moments (feat. Gavin James)
Ben Maxwell, Right Now (feat. Aviella)
The Chainsmokers, Don't Say
The Chainsmokers, All We Know
Stormzy, Big For Your Boots
Stormzy, Shut Up
French Montana, Unforgettable
Peking Duk, Fake Magic
Aminé, Caroline
James Arthur, Can I Be Him
Kendrick Lamar, DNA.
WIINSTON, Mio
Cheat Codes, No Promises (feat. Demi Lovato)
AlunaGeorge, I'm In Control
Jax Jones, House Work
Lost Frequencies, Here With You
The Avener & Phoebe Killdeer, Fade Out Lines - Radio Edit
HONNE, Someone That Loves You
ALMA, Chasing Highs
Martin Solveig, Places
Shawn Mendes, There's Nothing Holdin' Me Back - NOTD Remix
Disclosure, Magnets - A-Trak Remix
Dua Lipa, New Rules
The 1975, She Way Out
Bea Miller, like that
Flume, Hyperreal
ZHU, Automatic
Izzy Bizu, White Tiger - Single Version
Izzy Bizu, Talking to You
Hailee Steinfeld, Most Girls
Pitbull, Bon, Bon
