Novo Amor, Carry You
Gordi, Heaven I Know
Mansionair, Easier
The Cinematic Orchestra, To Build A Home
The Middle East, Blood
Dotan, Bones
alt-J, 3WW
Mt. Wolf, Golden (feat. St. South)
Holly Throsby, Aeroplane
The Last Dinosaur, All My Faith
Vallis Alps, Run
Everything Is Recorded, Close But Not Quite
Ásgeir, Afterglow
Tuvaband, Everything We Do Is Wrong
Fractures, Fall Harder (Live Piano Version)
Haux, Sister
Dustin Tebbutt, Atlas In Your Eye (For Jasper Jones)
St. South, Another Way
High Highs, London, After The Rain
RY X, Beacon
Oh Wonder, My Friends
Vancouver Sleep Clinic, Lung
Doe Paoro, The Wind
Låpsley, Falling Short
Yoste, Umi
Elliot Moss, 99
Kyson, Pictures
Kllo, Sense
Didirri, Blind You
Fortunes., Focus
Golden Vessel, Do You Think About Me? (feat. MTNS)
Sufjan Stevens, No Shade in the Shadow of The Cross
Airling, Take Care of You
James Vincent McMorrow, National
Fleet Foxes, White Winter Hymnal
Oliver Tank, Lost
Tora, Too Much
Lonelyspeck, All My Skin on the Air
Sigrid, Dynamite - Acoustic
Thrupence, Alethea
SOHN, Rennen
Bon Iver, ____45_____
Sigur Rós, Hoppípolla
Aldous Harding, Blend
This Is The Kit, Moonshine Freeze
Maggie Rogers, Alaska - Acoustic
Sampha, Incomplete Kisses
Husky, Spaces Between Heartbeats
nyck, This Might Be My Year
London Grammar, Oh Woman Oh Man
