Citizen Way, Elevated
Wang Chung, Praying To A New God
The Academic, Mixtape 2003
Colony House, Silhouettes
Andrew McMahon in the Wilderness, High Dive
Starflyer 59, Cherokee
Jimmy Eat World, The Middle
AC/DC, Heatseeker
The Strokes, Hard To Explain
Hilary Duff, All About You
5 Seconds of Summer, Castaway
Switchfoot, Hello Hurricane
Mike Doughty, Light Will Keep Your Heart Beating in the Future
The Good Natured, Wolves
Hinder, Foolish Eyes
The Killers, From Here On Out
Fatboy Slim, Wonderful Night
AC/DC, Dirty Eyes - Demo
All Time Low, Something's Gotta Give
Hey Violet, I Can Feel It
Tegan and Sara, Stop Desire
Miniature Tigers, Swimming Pool Blues
Alex Metric, It Starts
Tegan and Sara, Hell
The Ting Tings, Keep Your Head
Bleachers, Rollercoaster
Circa Waves, T-Shirt Weather
Nothing More, First Punch
New Found Glory, Hold My Hand
Firebeatz, Unlocked - GO! Running Mix
Ellie Goulding, Around U
V V Brown, Crying Blood
Love & The Outcome, He Is With Us
Faithless, Mass Destruction - Single Version
Janelle Monáe, Tightrope - feat. Big Boi
Major Lazer, Sound Bang
Joe Stone, Heartbeat
Kelly Clarkson, Second Wind
Iggy Azalea, Black Widow
Metallica, Master Of Puppets
Black Sabbath, Heaven and Hell - 2007 Remastered Version
Creedence Clearwater Revival, Fortunate Son
Survivor, Eye of the Tiger
Rush, Tom Sawyer
Mötley Crüe, Girls, Girls, Girls
Accept, Balls to the Wall
