Tori Amos, Winter
Simon & Garfunkel, A Hazy Shade of Winter
Polarkreis 18, Allein Allein
Madonna, Frozen
Split Enz, I Hope I Never
Dan Fogelberg, Longer
Elton John, Tiny Dancer
George Michael, Cowboys And Angels
Black, Wonderful Life
Howard Jones, Hide And Seek
Coldplay, Fix You
Mumford & Sons, Winter Winds
The Rolling Stones, Winter
Queen, A Winter's Tale
Counting Crows, A Long December
K's Choice, Mr. Freeze
Herman Finkers, De Elfstedentocht
a-ha, Hunting High And Low
Jimi Hendrix, The Wind Cries Mary
Snow Patrol, Chocolate - Revised Album Version
Fleet Foxes, White Winter Hymnal
Glen Hansard, Falling Slowly
Damien Rice, 9 Crimes
Blur, The Universal
Valensia, Gaia
Radiohead, No Surprises
Novastar, Waiting So Long
Lamb, Gabriel
Owl City, Fireflies
Julee Cruise, Falling
Daniël Lohues, Sneeuwen
Smith & Burrows, When The Thames Froze
Marble Sounds, Leave A Light On
Koop, Come to Me
Nick Cave & The Bad Seeds, Into My Arms
Tom Odell, Real Love
Andy Burrows, Hometown
R.E.M., Try Not To Breathe
A Great Big World, Say Something
Crowded House, Private Universe
David Gray, Babylon
Damien Rice, I Don't Want To Change You
James Blake, Limit To Your Love
Bruce Springsteen, Streets of Philadelphia
Coldplay, Everglow
Birdy, Let It All Go
Tired Pony, All Things All At Once
Patrick Watson, The Great Escape
Gavin James, The Book of Love - EP Version
Daughter, Youth
M83, Wait
Morning Parade, Us & Ourselves
Benjamin Francis Leftwich, Atlas Hands
Patrick Watson, Lighthouse
Sleeping At Last, Turning Page
Thomas Azier, Talk To Me
James TW, When You Love Someone - Acoustic
Elbow, Magnificent (She Says)
James Bay, Let It Go
Youngr, Out Of My System - Acoustic
