Wham!, Last Christmas - Remastered
Mariah Carey, All I Want for Christmas Is You
Andy Williams, It's the Most Wonderful Time of the Year
Daryl Hall & John Oates, Jingle Bell Rock from Daryl
Elbow, Golden Slumbers
Frank Sinatra, Let It Snow! Let It Snow! Let It Snow!
Tony Bennett, Winter Wonderland
Bruce Springsteen, Santa Claus Is Comin' to Town - Single Version
Tom Odell, Real Love
Elvis Presley, White Christmas
Sia, Santa's Coming For Us
Shakin' Stevens, Merry Christmas Everyone
Bing Crosby, White Christmas
Sara Bareilles, Winter Song
Perry Como, It's Beginning to Look a Lot Like Christmas
José Feliciano, Feliz Navidad
The Pogues, Fairytale of New York (feat. Kirsty MacColl)
Elvis Presley, Oh Little Town of Bethlehem
Band Aid, Do They Know It's Christmas? - 1984 Version
Wizzard, I Wish It Could Be Christmas Everyday
Michael Bublé, It's Beginning To Look A Lot Like Christmas
Chris Rea, Driving Home For Christmas - 2009 Remastered Version
Elvis Presley, Blue Christmas
Dean Martin, Silver Bells
Slade, Merry Xmas Everybody
John Lennon, Happy Xmas (War Is Over) - 2010 Digital Remaster
Coldplay, Christmas Lights
The Ronettes, Sleigh Ride - Remastered
Paul McCartney, Wonderful Christmastime - Remastered 2011 / Edited Version
East 17, Stay Another Day
Dean Martin, Let It Snow! Let It Snow! Let It Snow!
Mariah Carey, Christmas (Baby Please Come Home)
Bob Dylan, Here Comes Santa Claus
Pentatonix, White Winter Hymnal
Frank Sinatra, Santa Claus Is Coming to Town
Boney M., Mary's Boy Child / Oh My Lord
Felix Mendelssohn, Hark the Herald Angels Sing
Whitney Houston, The First Nöel
John Wade, O Come, All Ye Faithful
Glee Cast, Jingle Bells (Glee Cast Version)
Traditional, Ding Dong! Merrily on High
Aretha Franklin, Joy to the World
Dolly Parton, We Three Kings
Julie Andrews, Away In A Manger
Dr. Elmo, Grandma Got Run Over By A Reindeer
Noddy Holder, Merry Xmas Everybody
Sam Smith, Have Yourself A Merry Little Christmas
Emerson, Lake & Palmer, I Believe In Father Christmas
Johnny Mathis, When a Child Is Born
John Denver, Rudolph the Red Nosed Reindeer
Train, Shake up Christmas
Sarah McLachlan, Wintersong
Luther Vandross, Please Come Home for Christmas
Maria Mena, Home for Christmas
Darlene Love, Christmas (Baby Please Come Home)
Eartha Kitt, Santa Baby
Doris Day, I'll Be Home for Christmas
Jim Reeves, C-H-R-I-S-T-M-A-S
Picture This, This Christmas
Brenda Lee, Rockin' Around The Christmas Tree - Rerecorded Version
Bobby Helms, Jingle Bell Rock
Elton John, Step Into Christmas
Susan Boyle, I'll Be Home for Christmas (If Only In My Dreams)
Jona Lewie, Stop The Cavalry
Lily Allen, Somewhere Only We Know
Nat King Cole, The Christmas Song (Merry Christmas To You)
Céline Dion, Happy Xmas (War Is Over)
Mud, Lonely This Christmas
Frank Sinatra, Have Yourself a Merry Little Christmas
Pretenders, 2000 Miles - 2007 Remastered Version
Mykola Dmytrovych Leontovych, Carol of the Bells
Ariana Grande, Santa Tell Me
Justin Bieber, Mistletoe
Kylie Minogue, Santa Baby
Greg Lake, I Believe In Father Christmas
Gavin James, Driving Home For Christmas
Little Mix, Love Me Like You - Christmas Mix
John Legend, O Holy Night
Pentatonix, Hallelujah
Luther Vandross, Have Yourself a Merry Little Christmas
Kelly Clarkson, Underneath the Tree
New Kids On The Block, Merry, Merry Christmas
Whitney Houston, Do You Hear What I Hear?
Johnny Cash, The Little Drummer Boy
Billie Marten, White Christmas
Gerda Beilenson, Guardian Angels
Hermitage Green, Walking In the Air - Live from Joe.ie sessions
Leona Lewis, One More Sleep
The Jackson 5, Give Love On Christmas Day
Barbra Streisand, Grown-Up Christmas List
