Mia Riddle, Mia Riddle- Snowstorm
Mazzy Star, Flowers In December
Annie Williams, Roll On Hills
Sister Hazel, Your Winter - Acoustic
Winter Took His Life, Lucky Star
Joni Mitchell, Urge For Going
Cuco, Winter's Ballad
The Head and the Heart, Winter Song
Ane Brun, Changing Of The Seasons
Sting, The Hounds Of Winter
Bat For Lashes, Winter Fields
Tracey Thorn, Sister Winter
Red Hot Chili Peppers, Snow [Hey Oh]
Brendan Canning, Snowballs And Icicles
The Saw Doctors, Winter's Just a Dream
Steve Miller Band, Winter Time
Omarion, Ice Box
First Aid Kit, Winter Is All Over You
Mumford & Sons, Winter Winds
Sarah McLachlan, Song for a Winter's Night
The Winter Blanket, Darkness On The Edge Of Town
Broadcast, Winter Now
Arid, Wintertime
Counting Crows, A Long December
Sarah Dawn Finer, Winter Song
Tori Amos, Winter
Ramin Djawadi, Winter Has Come
Liz Durrett, Chilly Winds
Lindisfarne, Winter Song - 2003 - Remaster
Andreas Moe, Snow
Chris August, Winter Time
Kate Bush, 50 Words For Snow
Joshua Radin, Winter
Maroon 5, Chilly Winter - Demo
Chet Faker, Talk Is Cheap
Queen, A Winter's Tale
Cate Ferris, Minus 2 Degrees
Kanye West, Famous
Angus & Julia Stone, Snow
Gwen Stefani, Early Winter
