Dream Koala, We Can't Be Friends
Sonder, Feel
Ok2222, Take Me for My Words
frumhere, brooklyn baby
Khalid, Saved
Ryan Egan, Tongue of Yours
keshi, if you're not the one for me who is
Xavier Omär, Runnin' Round
6LACK, Ex Calling
Kleerup, Until We Bleed (feat. Lykke Li)
Savon, Forgive & Forget
Through & Through, Rose Dr
potsu, im closing my eyes (feat. shiloh)
Fallen Roses, Lies We Told
Wet, Don't Wanna Be Your Girl
Khalid, Coaster
frumhere, night drive
Sevdaliza, Hubris
Marie Dahlstrom, Maybe, One Day
Rayana Jay, Everything
Esther Kirabo, Blunt
Billy Davis, No Longer Lovers
FKJ, Better Give U Up
Sabrina Claudio, Stand Still
7AM, Swaying
Geoffroy, Sleeping on My Own
vbnd, Best for You
simon eng, another time (world$tar money)
Kupla, still breathing
Different Sleep, Slow Things Down
A D M B, Take It Back (feat. Sophie Meiers)
Snoh Aalegra, Sometimes
Xavier Omär, If This Is Love
[bsd.u], B5 [untitled] but i loved you
Nohidea, love (left)
Sango, How Do You Love Me
Gangsigns, All or Nothing
Reva DeVito, DEEPER - prod. BIRTHDAY BOY
Vague003, Why Are You Making This Harder Than It Has to Be
Savon, U Cant Interlude
Loyle Carner, Damselfly
Many Faces, Stay
SATICA, Dysfunctional (feat. SAKIMA)
Dounia, Menace
Xavier Omär, Change On Me (feat. Leuca)
Bonobo, Break Apart
Goldwash, Won't Cry
Silk Rhodes, Pains
ESTA., Loner
Nohidea, forget it..
