Harrison Storm, Sense of Home
Donovan Woods, Portland, Maine
Julie Byrne, Follow My Voice
Leon Bridges, River
Quiet Arrows, Find a Way
John Paul White, Hate the Way You Love Me
Jason Isbell and the 400 Unit, If We Were Vampires
Rosemary & Garlic, Old Now
Ira Wolf, Sunscreen
Peter Bradley Adams, My Arms Were Always Around You
Tall Heights, Back to Autumn
Old Sea Brigade, Love Brought Weight
Austin Basham, All Is Well
William Fitzsimmons, Fortune - Acoustic
Lord Huron, The Night We Met
The White Buffalo, I Am the Moon
Eddie Berman, Untamed
The Ballroom Thieves, Bees
Villagers, Nothing Arrived - Live from Spotify London
Meadows, The Only Boy Awake
Lisa Hannigan, Fall
Shakey Graves, If Not For You (Demo)
Jade Bird, What Am I Here For
The Sweet Remains, Moving in Slow Motion
Shannon Lay, Recording 15
Valerie June, With You - A Sweet Little Love Song Demo
Holly Throsby, Aeroplane
Aisha Badru, Mind on Fire
The Cave Singers, Distant Sures
Ryan Montbleau, I Was Just Leaving
Lowland Hum, Vedauwoo
Kina Grannis, Memory
Kelly McFarling, Records
The Black Atlantic, I Shall Cross This River
Aaron Espe, Making All Things New
Aisha Badru, Waiting Around
Au/Ra, Concrete Jungle - Acoustic
Donovan Woods, It'll Work Itself Out
Joseph & Maia, Sleep
Haux, Sister
Brandon Jenner, Burning Ground
Liza Anne, I Am Not in Love Anymore
Charlie Cunningham, Lights Off
Susie Suh, I Do
Terrible Sons, Tears Don't Fall
Craig Cardiff, Dirty Old Town
Joshua Hyslop, The Flood
Passenger, Simple Song
Iron & Wine, Resurrection Fern
Meadowlark, Fly - Acoustic
Lori McKenna, The Time I've Wasted
Henry Jamison, Real Peach
Ciaran Lavery, Shame
Sufjan Stevens, The Only Thing
Isbells, Dreamer
Caroline Spence, All the Beds I've Made (Acoustic)
dodie, Sick of Losing Soulmates
Hiss Golden Messenger, Caledonia, My Love
Jaimi Faulkner, Early Morning Coffee Cups
Lydia Luce, Love You True
Matt Hartke, Gold
Phoebe Bridgers, Scott Street
William Fitzsimmons, I Don't Feel It Anymore (Song of the Sparrow)
Marc Scibilia, Summer Clothes (Acoustic)
Seafret, Oceans
Allman Brown, Sweetest Thing
Peter Oren, Falling Water
Bright Eyes, First Day Of My Life
Austin Basham, Sounds Like Help
Langhorne Slim, Life Is Confusing
Lucy Dacus, ...Familiar Place
Tuvaband, Unknown
I Am Oak, Woandering
Glen Hansard, Time Will Be The Healer
Ásgeir, On That Day
Ray LaMontagne, Jolene
Joshua Burnside, Blood Drive
Schuyler Fisk, Fall Apart Today
Josienne Clarke and Ben Walker, Something Familiar
Iron & Wine, Call It Dreaming
Joan Shelley, Stay On My Shore
Joseph, Stay Awake
Sarah Jarosz, Build Me Up From Bones
Sammy Brue, I Know
Water Liars, Let It Breathe
Brooke Annibale, Answers
The Woodlands, Sudden Love (Acoustic)
Ásgeir, Trust
Sera Cahoone, Up to Me
Beyries, Son
Josh Ritter, Thunderbolt's Goodnight
The Dustbowl Revival, Got Over
Mary Bragg, Comet
Lewis Watson, forever (acoustic version)
