The 1975, Intro / Set3
The Neighbourhood, Sweater Weather
Foy Vance, Be the Song
Florence + The Machine, Delilah
Frank Sinatra, Witchcraft
Kodaline, All I Want
James Bay, Let It Go
Annie Lennox, I Put A Spell On You
Keane, Somewhere Only We Know
Florence + The Machine, Cosmic Love
Joyce Jonathan, L'Heure avait sonné
Iron & Wine, Flightless Bird, American Mouth
Ed Sheeran, Tenerife Sea
Ron Pope, A Drop In The Ocean
Matt Corby, Resolution
City and Colour, The Girl
Benjamin Francis Leftwich, Atlas Hands
Frank Sinatra, The Way You Look Tonight - Remastered 2008
Florence + The Machine, Dog Days Are Over
John Mayer, Free Fallin' - Live at the Nokia Theatre
Ed Sheeran, Friends
Frank Sinatra, I've Got You Under My Skin - 1998 Digital Remaster
PHOX, Slow Motion
Florence + The Machine, You've Got The Love
The Paper Kites, Bloom - Bonus Track
Ed Sheeran, Autumn Leaves - Deluxe Edition
Florence + The Machine, Never Let Me Go
Ed Sheeran, Give Me Love
Florence + The Machine, Falling
Ed Sheeran, Wake Me Up
John Mayer, Your Body Is a Wonderland
Carla Bruni, Little French Song
Nat King Cole, L-O-V-E - 2000 Digital Remaster
Ed Sheeran, Kiss Me
Sleeping At Last, Dear True Love
Ed Sheeran, I'm A Mess
The Oh Hellos, I Have Made Mistakes
Ed Sheeran, One
James Bay, Need The Sun To Break
Lorde, Tennis Court
James Bay, Incomplete
Mumford & Sons, Little Lion Man
James Bay, Hear Your Heart
Ed Sheeran, Firefly
Bright Eyes, First Day Of My Life
Ed Sheeran, Thinking Out Loud
Birdy, Not About Angels
James Bay, Running
Ed Sheeran, Photograph
The Black Keys, These Days
The Kooks, See The Sun
Adele, Hello
Keaton Henson, Small Hands
Keaton Henson, Flesh And Bone
Keaton Henson, You Don't Know How Lucky You Are
Keaton Henson, In The Morning
Cigarettes After Sex, Affection
Cigarettes After Sex, Nothing's Gonna Hurt You Baby
Frank Sinatra, Witchcraft - Remastered
Frank Sinatra, Theme From New York, New York
Frank Sinatra, Chicago
City and Colour, Northern Wind
Sean Heathcliff, Shadow of the Wind
Sam The Sham & The Pharaohs, Little Red Riding Hood - Remastered
Ed Sheeran, Little Bird
Ed Sheeran, Everything You Are
Ed Sheeran, Nina
Ed Sheeran, Even My Dad Does Sometimes
Frank Sinatra, Autumn In New York - 1998 Digital Remaster
Keaton Henson, Polyhymnia
alt-J, Warm Foothills
alt-J, Pusher
Ed Prosek, Home
Katie and I, Bones
Ed Prosek, Hold On Tight
Dancing Years, Neon Lights
Ed Prosek, Give It All
Etta James, Stormy Weather
Ben Webster, Early Autumn
Michael Malarkey, Dancing in the Grey
Michael Malarkey, Feed the Flames
Michael Malarkey, Holes
Michael Malarkey, Do You Remember Yesterday?
James Bay, Move Together
Toby Johnson, Sleepy Head
Garden City Movement, Move On
Kaleo, All The Pretty Girls
The Head and the Heart, Rivers and Roads
The Head and the Heart, Lost in My Mind
Maldito, My Forest Fire
Arctic Monkeys, No. 1 Party Anthem
Keaton Henson, Teach Me
Keaton Henson, On The News
Keaton Henson, Milk Teeth
Keaton Henson, Sweetheart, What Have You Done To Us
Keaton Henson, 10am Gare du Nord
Keaton Henson, The Best Today
Keaton Henson, Lying To You
Ed Sheeran, Hearts Don't Break Around Here
Cigarettes After Sex, K.
Harry Styles, From the Dining Table
Fleetwood Mac, Black Magic Woman
The Clovers, Love Potion No. 9
Harry Styles, Girl Crush - Recorded at Metropolis Studios, London
Kaleo, Way Down We Go
