Wes Walker, Jordan Belfort
Avril Lavigne, What the Hell
Avril Lavigne, Here's to Never Growing Up
Miley Cyrus, We Can't Stop
Miley Cyrus, Party In The U.S.A.
Flo Rida, I Cry
P!nk, Just Like Fire (From the Original Motion Picture "Alice Through The Looking Glass")
Rihanna, Bitch Better Have My Money
Chris Brown, Ayo
Fifth Harmony, Work from Home
J. Cole, Work Out
Thomas Rhett, Vacation
Brett Eldredge, Don't Ya
Selena Gomez, Kill Em With Kindness
Zac Brown Band, Castaway
Kevin Gates, 2 Phones
Sia, Cheap Thrills
99 Percent, I'm Buttered
Alessia Cara, Wild Things
Jason Derulo, If It Ain't Love
SoMo, Kings & Queens (Throw It Up)
SoMo, Ride
SoMo, Hush
SoMo, Back To The Start
D-Lo, You Played Me - Dirty
D-Lo, No Hoe - Dirty
The Weeknd, Often - Kygo Remix
Jon Pardi, Head Over Boots
Brett Eldredge, Drunk On Your Love
Jason Aldean, Lights Come On
The Weeknd, The Hills - Remix
Dj Slim D, I Got Two Phones
Kalin and Myles, Trampoline
The Chainsmokers, Roses
The Chainsmokers, Don't Let Me Down - W&W Remix
Jeremih, Planez
Jeremih, Don't Tell 'Em
The Weeknd, Can't Feel My Face
The Weeknd, Earned It (Fifty Shades Of Grey) - From The "Fifty Shades Of Grey" Soundtrack
Andy Grammer, Good To Be Alive (Hallelujah)
The Chainsmokers, Don't Let Me Down
Rascal Flatts, I Like The Sound Of That
Justin Timberlake, Drink You Away
Chris Lane, Fix
Sam Smith, Stay With Me
Sam Hunt, House Party
Sam Hunt, Make You Miss Me
Sam Hunt, Leave The Night On
Sam Hunt, Single For The Summer
Sam Hunt, Speakers
Childish Gambino, Bonfire
Childish Gambino, Heartbeat
Tegan and Sara, Where Does the Good Go
Florence + The Machine, Shake It Out
Florence + The Machine, Dog Days Are Over
Florence + The Machine, Cosmic Love
Iggy Azalea, Work
Iggy Azalea, Black Widow
J. Cole, She Knows
ScHoolboy Q, Man Of The Year
Mike Posner, Please Don't Go
Nicki Minaj, The Night Is Still Young
David Guetta, Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)
Fifth Harmony, Worth It
Madonna, Bitch I'm Madonna
Selena Gomez, Good For You
The Pussycat Dolls, Buttons
Demi Lovato, Cool for the Summer
will.i.am, Scream & Shout
Red Hot Chili Peppers, Otherside
Eminem, The Real Slim Shady
Mary J. Blige, Family Affair
O.T. Genasis, CoCo
Kanye West, Gold Digger
Nelly, Country Grammar (Hot Shit)
Meek Mill, All Eyes On You (feat. Chris Brown & Nicki Minaj)
Big Sean, Beware
J. Cole, No Role Modelz
Flo Rida, GDFR (feat. Sage The Gemini & Lookas)
DeJ Loaf, Back Up
French Montana, Pop That
G-Eazy, I Mean It REMIX
DJ Khaled, All I Do Is Win - Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross
A$AP Rocky, F**kin' Problems
Kendrick Lamar, m.A.A.d city
ScHoolboy Q, Hands On The Wheel
Travis Scott, Antidote
Dr. Dre, I Need A Doctor
Snoop Dogg, Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars
Kevin Gates, Really Really
G-Eazy, Me, Myself & I
Fifth Harmony, Work from Home
Fat Joe, All The Way Up
Desiigner, Panda
O.T. Genasis, Cut It (feat. Young Dolph)
ScHoolboy Q, Collard Greens
Dawin, Dessert
Bow Wow, Shortie Like Mine
Dr. Dre, The Next Episode
Hollywood Undead, Comin’ In Hot
Hollywood Undead, Dead Bite
The Killers, Mr. Brightside
Counting Crows, Mr. Jones
J. Cole, Mr. Nice Watch
Akon, Beautiful
Chris Brown, Loyal
Chris Brown, Yo (Excuse Me Miss)
Chris Brown, Gimme That
Chris Brown, Wall To Wall
Justin Timberlake, My Love
Kanye West, Clique
Tinashe, 2 On
Akon, Keep You Much Longer
JAY Z, Otis
Eagles, Hotel California - Remastered
Kid Cudi, Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit)
Lorde, Team
Lorde, Tennis Court
Niykee Heaton, Bad Intentions
Jeremih, Birthday Sex
Jeremih, Imma Star (Everywhere We Are)
Jeremih, Down On Me
Sugar Fix, Sugar How You Get So Fly
