Magnet, Where Happiness Lives
The Paper Kites, Paint
Ed Sheeran, Photograph
George Ezra, Budapest
The Paper Kites, Bloom - Bonus Track
Jack Johnson, Banana Pancakes
Mikky Ekko, Smile
Iron & Wine, Flightless Bird, American Mouth
Priscilla Ahn, Dream
Ingrid Michaelson, You and I
Mumford & Sons, I Will Wait
Edward Sharpe & The Magnetic Zeros, Home
Of Monsters and Men, Little Talks
The Lumineers, Ho Hey
The Lumineers, Stubborn Love
Ingrid Michaelson, Everybody
Ingrid Michaelson, The Way I Am
Birdy, Tee Shirt
Birdy, Not About Angels
Sara Bareilles, Gravity
Sara Bareilles, King of Anything
Sara Bareilles, Manhattan
Sara Bareilles, Little Black Dress
Sara Bareilles, Uncharted
Ed Sheeran, Autumn Leaves - Deluxe Edition
Ed Sheeran, Give Me Love
Ed Sheeran, Lego House
Ed Sheeran, Drunk
Ed Sheeran, Cold Coffee
Ed Sheeran, Kiss Me
Ed Sheeran, The A Team
Matt Nathanson, Come On Get Higher
Matt Nathanson, All We Are
Jeremy Passion, Lemonade - Ukulele Version
Tori Kelly, Paper Hearts
Yael Naim, New Soul
Ed Sheeran, I See Fire
Dixie Chicks, Landslide
James Blunt, You're Beautiful
Howie Day, Collide
Vance Joy, Mess Is Mine
Jasmine Thompson, Mad World
Gary Jules, Mad World (Feat. Michael Andrews)
Boys Like Girls, Two Is Better Than One
Twenty One Pilots, House Of Gold
Augustana, Boston
A Fine Frenzy, Almost Lover
Landon Pigg, Falling in Love at a Coffee Shop
Trevor Wesley, Chivalry Is Dead
Keane, Somewhere Only We Know
Snow Patrol, Chasing Cars
Anna Nalick, Breathe (2 AM) - Single Version
The Script, The Man Who Can't Be Moved
Tori Kelly, I Was Made For Loving You
Sara Bareilles, Bright Lights and Cityscapes
Echosmith, Bright
Kindness, Swingin Party
Tori Kelly, All In My Head
Tori Kelly, Rocket
Tori Kelly, City Dove
Sara Bareilles, She Used To Be Mine
Kodaline, All I Want
Sara Bareilles, Winter Song
Angus & Julia Stone, Big Jet Plane
The Weepies, World Spins Madly On
Hammock, You Lost the Starlight in Your Eyes
Phillip Phillips, Raging Fire
Phillip Phillips, Unpack Your Heart
Phillip Phillips, So Easy
Phillip Phillips, Home
Christina Perri, arms
The Beatles, Yesterday - Remastered
The Beatles, Here Comes The Sun - Remastered
OneRepublic, Come Home
OneRepublic, I Lived
Coldplay, Fix You
Jack Johnson, Sitting, Waiting, Wishing
Jack Johnson, Constellations
Jack Johnson, No Other Way
Shakey Graves, Only Son
George Ezra, Barcelona
George Ezra, Blame It on Me
Adam Levine, Lost Stars
Train, Marry Me
Passenger, Life's for the Living
Fictonian, I Remember
Tracy Chapman, Fast Car
Neil Halstead, Digging Shelters
The Lumineers, Ophelia
Ben Howard, Only Love
José González, Heartbeats
Bruno Mars, When I Was Your Man
A Great Big World, I Don't Wanna Love Somebody Else
Ron Pope, A Drop In The Ocean
Ed Sheeran, Tenerife Sea
Plain White T's, The Giving Tree
Glen Hansard, Falling Slowly
Hozier, Like Real People Do
James TW, When You Love Someone - Acoustic
Drew Holcomb & The Neighbors, Tomorrow
Lord Huron, The Night We Met
Lord Huron, Louisa
