Plain White T's, Hey There Delilah
Snow Patrol, Chasing Cars
Jason Derulo, It Girl
Jason Derulo, In My Head
Jason Derulo, Ridin' Solo
The All-American Rejects, Move Along
The All-American Rejects, Dirty Little Secret
The All-American Rejects, Gives You Hell
Coldplay, Paradise
Coldplay, Viva La Vida
fun., We Are Young (feat. Janelle Monáe) - feat. Janelle Monae
fun., Some Nights
B.o.B, Airplanes (feat. Hayley Williams of Paramore) - Explicit Album Version
Usher, Yeah!
Soulja Boy, Crank That (Soulja Boy)
OneRepublic, Stop And Stare
OneRepublic, Secrets
Leona Lewis, Bleeding Love
Gwen Stefani, Hollaback Girl
Gwen Stefani, Rich Girl
Jesse McCartney, Beautiful Soul
Jesse McCartney, Leavin'
Jesse McCartney, How Do You Sleep? - Featuring Ludacris
Jonas Brothers, Burnin' Up
Jonas Brothers, Year 3000
Victorious Cast, Take A Hint
Victorious Cast, Beggin' On Your Knees
Victorious Cast, Best Friend's Brother
Sean Kingston, Beautiful Girls
Rihanna, Disturbia
Rihanna, Good Girl Gone Bad
Rihanna, Don't Stop The Music
Rihanna, Umbrella
Beyoncé, Irreplaceable
Britney Spears, Womanizer
Britney Spears, Circus
Beyoncé, Single Ladies (Put a Ring on It)
Jay Sean, Down
Owl City, Fireflies
The Band Perry, If I Die Young
Kesha, Die Young
Kesha, Crazy Kids
Kesha, Blow
Kesha, Your Love Is My Drug
Kesha, TiK ToK
Kesha, Blah Blah Blah
Mike Posner, Cooler Than Me
Avril Lavigne, Girlfriend
Avril Lavigne, Complicated
Bruno Mars, When I Was Your Man
Bruno Mars, Just the Way You Are
Bruno Mars, The Lazy Song
Bruno Mars, Gorilla
Bruno Mars, Young Girls
Bruno Mars, Count On Me
The Killers, Mr. Brightside
Trey Songz, Bottoms Up - feat. Nicki Minaj
Britney Spears, Toxic
Natasha Bedingfield, Unwritten
Natasha Bedingfield, Pocketful of Sunshine
P!nk, Raise Your Glass
P!nk, So What
P!nk, Please Don't Leave Me
P!nk, F**kin' Perfect
Alexandra Stan, Mr. Saxobeat - Radio Edit
Neon Trees, Everybody Talks
Neon Trees, Animal
Spice Girls, Wannabe - Radio Edit
Britney Spears, Oops!...I Did It Again
Pitbull, Give Me Everything
Hannah Montana, Nobody's Perfect
Hannah Montana, Ordinary Girl
Hannah Montana, Rockstar - Original Version
Hannah Montana, One In A Million
Hannah Montana, If We Were A Movie
Hannah Montana, The Best of Both Worlds - From "Hannah Montana"/Soundtrack Version
Hannah Montana, Who Said - From "Hannah Montana"/Soundtrack Version
Beyoncé, Halo
Nicki Minaj, Super Bass
Lifehouse, You and Me - .
Daniel Powter, Bad Day
Justin Timberlake, SexyBack
Rihanna, Pon de Replay
Gnarls Barkley, Crazy - single version
Fall Out Boy, Sugar, We're Goin Down
Shakira, Hips Don't Lie
The Fray, Over My Head (Cable Car)
Katy Perry, E.T.
The Wanted, Glad You Came
Hot Chelle Rae, Tonight Tonight
Hot Chelle Rae, I Like It Like That
Britney Spears, ...Baby One More Time
Colbie Caillat, Fallin' For You
Smash Mouth, All Star
Hilary Duff, Why Not
The Hollywood Soundtrack Band, What Dreams Are Made of (From "The Lizzie Mc Guire Movie")
High School Musical Cast, We're All In This Together
Troy, Breaking Free - From "High School Musical" / Soundtrack Version
Ryan, Bop To The Top
Gabriella, When There Was Me And You
Ryan, What I've Been Looking For
Troy, Get'cha Head In The Game
Troy, Start Of Something New
Sharpay Evans, Fabulous
Bella Thorne, TTYLXOX
Jason Mraz, I'm Yours
Nicki Minaj, Starships
Nicki Minaj, Pound The Alarm
Shop Boyz, Party Like A Rock Star
Baby Bash, Cyclone
Fergie, Fergalicious
Akon, Right Now (Na Na Na)
Usher, DJ Got Us Fallin' In Love
Justin Bieber, One Less Lonely Girl
Timbaland, Apologize
The Black Eyed Peas, I Gotta Feeling
*NSYNC, Bye Bye Bye
Justin Bieber, Somebody To Love Remix
Maroon 5, She Will Be Loved
