a-ha, Take On Me
The La's, There She Goes
The Beatles, Here Comes The Sun - Remastered
The Beatles, Ob-La-Di, Ob-La-Da - Remastered
The Beatles, Dear Prudence - Remastered
The Beatles, Martha My Dear - Remastered
Elton John, Tiny Dancer
Elton John, Don't Go Breaking My Heart
Elton John, Rocket Man (I Think It's Going To Be A Long Long Time)
The Beach Boys, Sloop John B - 1996 - Remaster
Elton John, Someone Saved My Life Tonight
John Lennon, Imagine - 2010 - Remaster
The Beatles, Across The Universe - Remastered
Wings, Let 'Em In
Elton John, Goodbye Yellow Brick Road - Remastered 2014
David Bowie, Life On Mars? - 1999 Remastered Version
David Bowie, Changes - 1999 Remastered Version
The Icicle Works, Whisper to a Scream (Birds Fly) - Single Version
Naked Eyes, Always Something There To Remind Me
Elvin Bishop, Fooled Around And Fell In Love
Wings, Listen To What The Man Said - Remastered
Wings, Silly Love Songs
David Bowie, Starman - 2012 Remastered Version
David Bowie, Oh! You Pretty Things - 2015 Remastered Version
David Bowie, Kooks - 1999 Remastered Version
OutKast, Hey Ya! - Radio Mix / Club Mix
Queen, Bohemian Rhapsody
The Smiths, This Charming Man - 2011 Remastered Version
Alphaville, Forever Young
The Buggles, Video Killed The Radio Star
Tears For Fears, Everybody Wants To Rule The World
The Beatles, Hey Jude - Remastered 2015
Elton John, Bennie And The Jets - Remastered 2014
Dexys Midnight Runners, Come On Eileen
