Wet, Weak
Oh Wonder, Landslide
Coldplay, Fix You
EDEN, Wake Up
X Ambassadors, Unsteady
Lia Marie Johnson, DNA
Ruth B., Superficial Love
James Arthur, Impossible
blackbear, Idfc
Kodaline, All I Want
Ed Sheeran, Happier
Russ, Ain't Nobody Takin My Baby
Khalid, Shot Down
Russ, Losin Control
Ron Pope, A Drop In The Ocean
The Fray, How to Save a Life
Bea Miller, i can't breathe
The Weeknd, What You Need
The Weeknd, Angel
The Weeknd, Shameless
Hozier, Work Song
Birdy, Skinny Love
Lord Huron, The Night We Met
Kevin Garrett, The Way I Keep Myself Together
Sam Smith, Too Good At Goodbyes - Edit
Labrinth, Jealous
James Bay, Let It Go
Alex & Sierra, Little Do You Know
Birdy, Not About Angels
gnash, i hate u, i love u (feat. olivia o'brien)
Rihanna, Stay - Album Version (Edited)
Labrinth, Beneath Your Beautiful
XXXTENTACION, Jocelyn Flores
XXXTENTACION, Everybody Dies In Their Nightmares
Maroon 5, Never Gonna Leave This Bed - Acoustic
Daniel Caesar, Won't Live Here
