DJ Snake, Let Me Love You
The Chainsmokers, Closer
Justin Bieber, What Do You Mean?
Shawn Mendes, Treat You Better
Justin Bieber, Love Yourself
Justin Bieber, Company
Wiz Khalifa, See You Again (feat. Charlie Puth)
Major Lazer, Cold Water (feat. Justin Bieber & MØ)
Ariana Grande, Side To Side
Martin Garrix, In the Name of Love
Bruno Mars, Just the Way You Are
Bruno Mars, The Lazy Song
Calvin Harris, This Is What You Came For
Bruno Mars, 24K Magic
Maroon 5, Sugar
Bruno Mars, Talking To The Moon
Maroon 5, New Love
Machine Gun Kelly, Bad Things - With Camila Cabello
Marshmello, Alone
Calvin Harris, Summer
Justin Timberlake, CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's "TROLLS")
Bruno Mars, Treasure
The Weeknd, Starboy
Ken Ashcorp, 20 Percent Cooler
Justin Bieber, Sorry
Jack Ü, Where Are Ü Now (with Justin Bieber)
Maroon 5, Payphone
Jonas Blue, Perfect Strangers
Wiz Khalifa, Roll Up
Porter Robinson, Shelter
Hailee Steinfeld, Love Myself
Daya, Sit Still, Look Pretty
Daya, Hide Away
Hailee Steinfeld, Starving
Bearson, One Step At A Time
Violet Days, Your Girl
Major Lazer, Light It Up (feat. Nyla & Fuse ODG) [Remix]
John Legend, Love Me Now
Third Eye Blind, Semi-Charmed Life
Oasis, Wonderwall
Chris Brown, Party
San Holo, Light
Charlie Puth, We Don't Talk Anymore (feat. Selena Gomez)
Andy Grammer, Fresh Eyes
Mike Perry, The Ocean
John Lennon, Stand By Me - 2010 - Remaster
gnash, i hate u, i love u (feat. olivia o'brien)
Futuristik, Little Bit
Snakehips, Don't Leave
Ed Sheeran, Castle on the Hill
What So Not, Lone (feat. JOY.)
The Janoskians, Love What You Have
XY&O, Low Tide
Quinn XCII, Demon
MAX, 10 Victoria's Secret Models - Whethan Remix
Major Lazer, Run Up
Ariana Grande, Everyday
Ed Sheeran, Shape of You
Sam Hunt, Body Like A Back Road
Maroon 5, Cold
The Weeknd, Reminder
Ben Howard, Promise
Bruno Mars, That's What I Like
Rihanna, Work
Fifth Harmony, Work from Home
Stupead, Alright
Pitbull, Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version
Big Wild, Aftergold (feat. Tove Styrke)
Aaron Carter, Sooner Or Later
Ed Sheeran, Galway Girl
Machine Gun Kelly, At My Best (feat. Hailee Steinfeld)
G-Eazy, Good Life (with G-Eazy & Kehlani)
Lil Uzi Vert, Go Off (with Lil Uzi Vert, Quavo & Travis Scott)
Young Thug, Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)
The Black Eyed Peas, I Gotta Feeling
The Chainsmokers, The One
Shawn Mendes, Stitches
Harry Styles, Sign of the Times
Luis Fonsi, Despacito - Remix
Justin Bieber, I'll Show You
The Aces, Stuck
VHS Collection, Waiting on the Summer
Shawn Mendes, There's Nothing Holdin' Me Back
Marshmello, Moving On
DJ Khaled, I'm the One
Jeremih, Don't Get Much Better (with Jeremih, Ty Dolla $ign & Sage The Gemini)
Zedd, Stay (with Alessia Cara)
Jonas Blue, Mama
Culture Code, Electricity
We Came As Romans, Memories
David Guetta, 2U (feat. Justin Bieber)
The Weeknd, Secrets
Deorro, Five More Hours - Deorro x Chris Brown
Justin Bieber, Friends (with BloodPop®)
Maroon 5, What Lovers Do (feat. SZA)
The Vamps, All Night
Martin Garrix, Scared to Be Lonely
Liam Payne, Strip That Down
Charlie Puth, Attention
Lost Kings, Quit You
Sia, Chandelier
Zedd, Get Low (with Liam Payne)
Charlie Puth, How Long
Martin Garrix, There for You
Marshmello, You & Me
Zedd, Daisy
Louis Tomlinson, Back to You (feat. Bebe Rexha & Digital Farm Animals)
Hailee Steinfeld, Let Me Go (with Alesso, Florida Georgia Line & watt)
